device_id,tcp_flag,udp_flag,http_flag,https_flag,packet_size,ttl,inter_arrival_time,protocol,src_port,dst_port,epoch_timestamp,avg_et,max_et,min_et,label
1006,1,1,1,0,361.136237912234,128,0.02417341978858234,6,17786,80,1620000000.0,1620000000.0,1620000000.0,1620000000.0,0
1003,1,1,1,1,194.03341835934594,64,0.07270437526146616,6,4489,80,1620000001.8009005,1620000001.8009005,1620000001.8009005,1620000001.8009005,0
1007,0,1,1,0,459.8804370138137,255,0.13318719672626655,6,56181,443,1620000003.601801,1620000003.601801,1620000003.601801,1620000003.601801,0
1004,0,1,0,0,607.0090383407997,64,0.08138343587115958,1,52447,22,1620000005.4027014,1620000005.4027014,1620000005.4027014,1620000005.4027014,0
1006,0,1,0,1,707.7873522872867,64,0.2645369610241207,1,26646,80,1620000007.2036018,1620000007.2036018,1620000007.2036018,1620000007.2036018,0
1009,0,1,0,0,606.1005148335864,64,0.047476431236227114,1,51183,22,1620000009.0045023,1620000009.0045023,1620000009.0045023,1620000009.0045023,0
1002,0,0,0,1,667.1642137449716,128,0.06230164607778959,17,7824,80,1620000010.8054028,1620000010.8054028,1620000010.8054028,1620000010.8054028,0
1006,0,1,0,1,709.0622860207919,255,0.009268816702237911,17,50285,22,1620000012.6063032,1620000012.6063032,1620000012.6063032,1620000012.6063032,0
1007,1,0,1,0,432.1245987403779,128,0.09390454454748763,17,36563,1883,1620000014.4072037,1620000014.4072037,1620000014.4072037,1620000014.4072037,0
1004,1,1,0,1,470.412139618482,128,0.03399751203886634,17,37675,1883,1620000016.2081041,1620000008.104052,1620000016.2081041,1620000000.0,0
1003,1,1,0,0,757.4335586299751,64,0.017472135902332715,17,3624,22,1620000018.0090046,1620000009.9049525,1620000018.0090046,1620000001.8009005,0
1007,0,0,0,1,257.9685951538625,128,0.0786428264761752,6,6542,80,1620000019.809905,1620000011.705853,1620000019.809905,1620000003.601801,0
1007,1,1,1,0,585.826572304459,64,0.07599501588569332,17,20651,443,1620000021.6108055,1620000013.5067534,1620000021.6108055,1620000005.4027014,0
1002,1,0,1,1,356.65823421659576,255,0.00789043005642549,6,51181,22,1620000023.411706,1620000015.307654,1620000023.411706,1620000007.2036018,0
1005,1,0,1,0,720.052320646194,128,0.11980419383810921,1,30393,502,1620000025.2126062,1620000017.1085544,1620000025.2126062,1620000009.0045023,0
1004,1,0,0,1,496.4129038849721,128,0.09775604431323778,1,32469,443,1620000027.0135067,1620000018.9094548,1620000027.0135067,1620000010.8054028,0
1001,1,1,1,1,501.5187870756248,128,0.020950853550871066,1,17713,502,1620000028.814407,1620000020.7103553,1620000028.814407,1620000012.6063032,0
1007,0,1,1,1,845.7759774793373,64,0.06338125427051332,1,16947,22,1620000030.6153076,1620000022.5112557,1620000030.6153076,1620000014.4072037,0
1005,0,1,1,0,284.79144411027073,64,0.12741196144818087,1,39493,80,1620000032.416208,1620000024.3121562,1620000032.416208,1620000016.2081041,0
1001,1,0,0,0,543.1638946437206,128,0.07538227523245195,17,31427,502,1620000034.2171085,1620000026.1130564,1620000034.2171085,1620000018.0090046,0
1004,1,0,1,1,463.9747737804358,128,0.050333553826107005,17,1982,22,1620000036.018009,1620000027.9139569,1620000036.018009,1620000019.809905,0
1000,1,1,0,0,606.4822632086062,255,0.03891073163932547,17,59321,443,1620000037.8189094,1620000029.7148576,1620000037.8189094,1620000021.6108055,0
1009,0,1,0,1,885.8661573377893,255,0.09426189646376043,1,55446,80,1620000039.6198099,1620000031.5157578,1620000039.6198099,1620000023.411706,0
1005,0,1,1,0,378.95169801496354,255,0.27986649438637723,1,41387,502,1620000041.4207103,1620000033.3166585,1620000041.4207103,1620000025.2126062,0
1008,1,1,0,1,260.520457529191,255,0.11139640476515769,6,61036,22,1620000043.2216108,1620000035.117559,1620000043.2216108,1620000027.0135067,0
1000,0,1,1,0,338.1345148635988,255,0.007768688042096049,17,4562,80,1620000045.0225112,1620000036.9184592,1620000045.0225112,1620000028.814407,0
1009,0,0,0,1,453.43638355581624,64,0.061745541402347615,1,61045,80,1620000046.8234117,1620000038.7193596,1620000046.8234117,1620000030.6153076,0
1002,1,0,1,1,512.8461667406654,255,0.22147952246215677,1,24428,1883,1620000048.6243122,1620000040.52026,1620000048.6243122,1620000032.416208,0
1006,0,0,1,1,522.9057591573164,255,0.009922650699345186,1,51806,80,1620000050.4252126,1620000042.3211606,1620000050.4252126,1620000034.2171085,0
1003,0,1,1,1,860.5321902350868,128,0.44986244653421575,6,11007,22,1620000052.226113,1620000044.1220613,1620000052.226113,1620000036.018009,0
1008,1,0,0,0,824.9678089309683,64,0.29772912325099476,1,36395,443,1620000054.0270135,1620000045.9229615,1620000054.0270135,1620000037.8189094,0
1002,0,0,1,1,760.5892978133921,255,0.008150780118979592,6,60339,1883,1620000055.827914,1620000047.7238622,1620000055.827914,1620000039.6198099,0
1004,0,0,0,0,1002.8877273234684,255,0.27092507281898853,6,25666,22,1620000057.6288145,1620000049.5247626,1620000057.6288145,1620000041.4207103,0
1002,1,0,1,0,664.8196913325263,255,0.04511937930498078,17,14491,22,1620000059.429715,1620000051.3256629,1620000059.429715,1620000043.2216108,0
1006,0,0,0,1,721.671016702528,128,0.18624555787465624,1,59202,22,1620000061.2306154,1620000053.1265633,1620000061.2306154,1620000045.0225112,0
1004,0,1,0,0,660.9541043787532,128,0.05419437041244958,6,1229,502,1620000063.0315158,1620000054.9274638,1620000063.0315158,1620000046.8234117,0
1008,1,0,1,0,628.1810627587573,128,0.05813466492545025,1,28433,502,1620000064.8324163,1620000056.7283642,1620000064.8324163,1620000048.6243122,0
1006,1,1,1,0,578.8793048365683,255,0.10057863492467634,17,13466,443,1620000066.6333168,1620000058.529265,1620000066.6333168,1620000050.4252126,0
1001,1,1,1,1,420.6285910169359,128,0.14893349888042925,17,27314,22,1620000068.4342172,1620000060.3301651,1620000068.4342172,1620000052.226113,0
1003,0,1,1,0,250.64435043242707,255,0.003437319834719393,6,27132,502,1620000070.2351177,1620000062.1310658,1620000070.2351177,1620000054.0270135,0
1008,1,1,1,0,473.86920620757735,64,0.08993254484040797,17,6715,502,1620000072.036018,1620000063.931966,1620000072.036018,1620000055.827914,0
1001,0,1,0,1,613.1547399344126,255,0.020669580280810944,17,39933,502,1620000073.8369184,1620000065.7328665,1620000073.8369184,1620000057.6288145,0
1009,1,0,1,1,514.452380194798,128,0.04245707406923023,17,53321,443,1620000075.6378188,1620000067.533767,1620000075.6378188,1620000059.429715,0
1008,0,0,1,0,286.9328611761489,64,0.042766266016608843,1,20528,443,1620000077.4387193,1620000069.3346674,1620000077.4387193,1620000061.2306154,0
1009,1,1,0,1,466.82339000332433,255,0.06331068992652376,1,65294,22,1620000079.2396197,1620000071.135568,1620000079.2396197,1620000063.0315158,0
1004,1,1,1,0,456.39943828337243,64,0.04066704520576659,6,31186,1883,1620000081.0405202,1620000072.9364684,1620000081.0405202,1620000064.8324163,0
1001,1,1,1,0,487.529071606244,64,0.011357316785517386,6,40520,22,1620000082.8414207,1620000074.7373688,1620000082.8414207,1620000066.6333168,0
1003,1,0,0,0,598.1830697853319,64,0.015738944725652685,17,59075,502,1620000084.642321,1620000076.5382693,1620000084.642321,1620000068.4342172,0
1006,0,1,1,1,641.2516073820605,255,0.0034009818461591765,17,39822,502,1620000086.4432216,1620000078.3391697,1620000086.4432216,1620000070.2351177,0
1007,1,0,1,0,399.9897098050895,128,0.06353483552259777,6,50354,80,1620000088.244122,1620000080.14007,1620000088.244122,1620000072.036018,0
1002,1,1,1,1,696.2242376025027,255,0.3088894049597022,17,22575,22,1620000090.0450225,1620000081.9409702,1620000090.0450225,1620000073.8369184,0
1000,0,0,0,1,726.3276239336625,128,0.012293088975395036,6,14407,502,1620000091.845923,1620000083.7418709,1620000091.845923,1620000075.6378188,1
1003,1,1,1,0,564.0603866097091,255,0.2923681285599671,1,17520,502,1620000093.6468234,1620000085.5427716,1620000093.6468234,1620000077.4387193,0
1001,0,0,0,1,632.9500543906137,255,0.1321861525812221,17,42740,1883,1620000095.4477239,1620000087.3436718,1620000095.4477239,1620000079.2396197,0
1007,1,1,1,1,696.8462884923897,255,0.10147275024422758,17,10112,80,1620000097.2486243,1620000089.144572,1620000097.2486243,1620000081.0405202,0
1003,1,0,0,1,280.47107008410575,128,0.10364202051108234,17,48006,22,1620000099.0495248,1620000090.9454727,1620000099.0495248,1620000082.8414207,0
1001,1,0,1,1,710.9462669963592,255,0.1752890635647988,1,28468,443,1620000100.8504252,1620000092.7463734,1620000100.8504252,1620000084.642321,1
1005,0,0,0,1,341.98782548040936,64,0.011307896459521568,1,25758,22,1620000102.6513257,1620000094.5472736,1620000102.6513257,1620000086.4432216,0
1005,1,0,0,0,361.4596726743243,255,0.07027013235083013,17,42769,22,1620000104.4522262,1620000096.3481739,1620000104.4522262,1620000088.244122,0
1009,1,0,0,1,539.2578335629522,64,0.11943233050571889,6,35595,1883,1620000106.2531266,1620000098.1490746,1620000106.2531266,1620000090.0450225,0
1003,1,0,0,0,71.19197486506614,128,0.08838730228097175,1,27439,22,1620000108.054027,1620000099.9499753,1620000108.054027,1620000091.845923,0
1005,0,0,0,0,535.1240616451521,128,0.1788439412859406,17,16413,1883,1620000109.8549275,1620000101.7508755,1620000109.8549275,1620000093.6468234,0
1001,0,1,0,0,696.3561893911605,255,0.007501637895018451,17,28768,1883,1620000111.655828,1620000103.5517757,1620000111.655828,1620000095.4477239,0
1009,1,1,1,0,170.81523071079667,255,0.11734469601088071,1,19706,502,1620000113.4567285,1620000105.3526764,1620000113.4567285,1620000097.2486243,0
1001,0,1,1,0,717.8018649092902,255,0.07636291538904615,6,46062,443,1620000115.257629,1620000107.153577,1620000115.257629,1620000099.0495248,0
1009,1,1,0,0,360.242476294509,64,0.047668327083072434,17,35334,1883,1620000117.0585294,1620000108.9544773,1620000117.0585294,1620000100.8504252,0
1003,1,1,0,1,541.3723560985602,128,0.0415932170528653,6,8283,80,1620000118.8594296,1620000110.7553775,1620000118.8594296,1620000102.6513257,0
1007,1,0,0,1,389.2850985989076,64,0.09697775691983458,6,46192,80,1620000120.66033,1620000112.5562782,1620000120.66033,1620000104.4522262,0
1006,1,0,0,1,614.5836968258092,64,0.22163649631970236,1,13570,443,1620000122.4612305,1620000114.3571787,1620000122.4612305,1620000106.2531266,0
1008,1,0,1,0,704.9895112327528,255,0.06855281315707297,17,3178,1883,1620000124.262131,1620000116.158079,1620000124.262131,1620000108.054027,0
1007,1,0,0,1,629.4020728764996,255,0.174138863541491,17,9790,443,1620000126.0630314,1620000117.9589796,1620000126.0630314,1620000109.8549275,0
1004,1,0,1,1,499.20377010126,64,0.05144260673309911,6,49541,502,1620000127.863932,1620000119.7598798,1620000127.863932,1620000111.655828,1
1001,0,1,1,1,404.828932681315,64,0.010802457533030024,1,12254,80,1620000129.6648324,1620000121.5607803,1620000129.6648324,1620000113.4567285,0
1004,0,1,0,0,486.13959412577736,255,0.006347853534360796,1,18789,22,1620000131.4657328,1620000123.3616807,1620000131.4657328,1620000115.257629,0
1007,0,1,0,1,631.1942929919284,255,0.00526988831581217,1,6926,80,1620000133.2666333,1620000125.1625812,1620000133.2666333,1620000117.0585294,0
1009,0,1,1,0,638.0532798345838,64,0.047827799471739915,6,2246,1883,1620000135.0675337,1620000126.9634814,1620000135.0675337,1620000118.8594296,0
1008,0,0,1,1,610.1653164352244,255,0.04113389516538731,6,28074,443,1620000136.8684342,1620000128.7643821,1620000136.8684342,1620000120.66033,0
